Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,2001/01/01 al 2001/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/2001,TLA,PM10,101,2
01/01/2001,XAL,PM10,165,2
01/01/2001,MER,PM10,64,2
01/01/2001,PED,PM10,81,2
01/01/2001,CES,PM10,108,2
01/01/2001,SUR,PM10,103,2
01/01/2001,HAN,PM10,72,2
01/01/2001,PLA,PM10,92,2
01/01/2001,SAG,PM10,77,2
01/01/2001,TAX,PM10,107,2
02/01/2001,LVI,PM10,54,2
02/01/2001,TLA,PM10,75,2
02/01/2001,XAL,PM10,96,2
02/01/2001,MER,PM10,41,2
02/01/2001,PED,PM10,57,2
02/01/2001,CES,PM10,47,2
02/01/2001,TLI,PM10,33,2
02/01/2001,VIF,PM10,41,2
02/01/2001,TAH,PM10,68,2
02/01/2001,SUR,PM10,59,2
02/01/2001,FAC,PM10,54,2
02/01/2001,HAN,PM10,34,2
02/01/2001,PLA,PM10,56,2
02/01/2001,SAG,PM10,56,2
02/01/2001,TAX,PM10,60,2
03/01/2001,LVI,PM10,31,2
03/01/2001,TLA,PM10,44,2
03/01/2001,XAL,PM10,51,2
03/01/2001,MER,PM10,27,2
03/01/2001,PED,PM10,42,2
03/01/2001,CES,PM10,32,2
03/01/2001,TLI,PM10,18,2
03/01/2001,VIF,PM10,34,2
03/01/2001,TAH,PM10,69,2
03/01/2001,SUR,PM10,37,2
03/01/2001,HAN,PM10,22,2
03/01/2001,PLA,PM10,28,2
03/01/2001,SAG,PM10,31,2
03/01/2001,TAX,PM10,39,2
04/01/2001,LVI,PM10,61,2
04/01/2001,TLA,PM10,74,2
04/01/2001,XAL,PM10,92,2
04/01/2001,MER,PM10,43,2
04/01/2001,PED,PM10,65,2
04/01/2001,CES,PM10,51,2
04/01/2001,TLI,PM10,28,2
04/01/2001,VIF,PM10,54,2
04/01/2001,TAH,PM10,54,2
04/01/2001,SUR,PM10,70,2
04/01/2001,HAN,PM10,36,2
04/01/2001,PLA,PM10,62,2
04/01/2001,SAG,PM10,56,2
04/01/2001,TAX,PM10,67,2
05/01/2001,LVI,PM10,50,2
05/01/2001,TLA,PM10,61,2
05/01/2001,XAL,PM10,85,2
05/01/2001,MER,PM10,37,2
05/01/2001,PED,PM10,51,2
05/01/2001,CES,PM10,52,2
05/01/2001,TLI,PM10,33,2
05/01/2001,VIF,PM10,59,2
05/01/2001,TAH,PM10,51,2
05/01/2001,HAN,PM10,31,2
05/01/2001,PLA,PM10,55,2
05/01/2001,SAG,PM10,59,2
05/01/2001,TAX,PM10,60,2
06/01/2001,LVI,PM10,41,2
06/01/2001,TLA,PM10,58,2
06/01/2001,XAL,PM10,83,2
06/01/2001,MER,PM10,39,2
06/01/2001,PED,PM10,42,2
06/01/2001,CES,PM10,54,2
06/01/2001,TLI,PM10,27,2
06/01/2001,VIF,PM10,77,2
06/01/2001,TAH,PM10,48,2
06/01/2001,HAN,PM10,25,2
06/01/2001,PLA,PM10,40,2
06/01/2001,SAG,PM10,45,2
06/01/2001,TAX,PM10,53,2
07/01/2001,LVI,PM10,79,2
07/01/2001,TLA,PM10,61,2
07/01/2001,MER,PM10,50,2
07/01/2001,PED,PM10,56,2
07/01/2001,CES,PM10,79,2
07/01/2001,TLI,PM10,37,2
07/01/2001,VIF,PM10,94,2
07/01/2001,TAH,PM10,61,2
07/01/2001,HAN,PM10,56,2
07/01/2001,PLA,PM10,55,2
07/01/2001,SAG,PM10,81,2
07/01/2001,TAX,PM10,79,2
08/01/2001,LVI,PM10,62,2
08/01/2001,TLA,PM10,79,2
08/01/2001,MER,PM10,42,2
08/01/2001,PED,PM10,58,2
08/01/2001,CES,PM10,61,2
08/01/2001,TLI,PM10,32,2
08/01/2001,VIF,PM10,69,2
08/01/2001,HAN,PM10,45,2
08/01/2001,PLA,PM10,68,2
08/01/2001,SAG,PM10,61,2
08/01/2001,TAX,PM10,67,2
09/01/2001,LVI,PM10,62,2
09/01/2001,TLA,PM10,97,2
09/01/2001,XAL,PM10,123,2
09/01/2001,MER,PM10,37,2
09/01/2001,CES,PM10,61,2
09/01/2001,TLI,PM10,39,2
09/01/2001,VIF,PM10,63,2
09/01/2001,TAH,PM10,45,2
09/01/2001,FAC,PM10,54,2
09/01/2001,HAN,PM10,44,2
09/01/2001,PLA,PM10,52,2
09/01/2001,SAG,PM10,70,2
09/01/2001,TAX,PM10,65,2
10/01/2001,LVI,PM10,25,2
10/01/2001,TLA,PM10,32,2
10/01/2001,XAL,PM10,65,2
10/01/2001,MER,PM10,19,2
10/01/2001,PED,PM10,26,2
10/01/2001,CES,PM10,36,2
10/01/2001,TLI,PM10,18,2
10/01/2001,VIF,PM10,32,2
10/01/2001,TAH,PM10,18,2
10/01/2001,SUR,PM10,24,2
10/01/2001,FAC,PM10,25,2
10/01/2001,HAN,PM10,24,2
10/01/2001,PLA,PM10,28,2
10/01/2001,SAG,PM10,34,2
10/01/2001,TAX,PM10,30,2
11/01/2001,TLA,PM10,55,2
11/01/2001,XAL,PM10,109,2
11/01/2001,MER,PM10,43,2
11/01/2001,PED,PM10,50,2
11/01/2001,CES,PM10,51,2
11/01/2001,TLI,PM10,25,2
11/01/2001,VIF,PM10,73,2
11/01/2001,TAH,PM10,62,2
11/01/2001,SUR,PM10,43,2
11/01/2001,FAC,PM10,32,2
11/01/2001,HAN,PM10,35,2
11/01/2001,PLA,PM10,52,2
11/01/2001,SAG,PM10,51,2
11/01/2001,TAX,PM10,55,2
12/01/2001,TLA,PM10,71,2
12/01/2001,XAL,PM10,129,2
12/01/2001,MER,PM10,41,2
12/01/2001,PED,PM10,57,2
12/01/2001,CES,PM10,47,2
12/01/2001,TLI,PM10,35,2
12/01/2001,VIF,PM10,59,2
12/01/2001,TAH,PM10,61,2
12/01/2001,SUR,PM10,45,2
12/01/2001,FAC,PM10,46,2
12/01/2001,HAN,PM10,40,2
12/01/2001,PLA,PM10,53,2
12/01/2001,SAG,PM10,64,2
12/01/2001,TAX,PM10,56,2
13/01/2001,LVI,PM10,92,2
13/01/2001,TLA,PM10,88,2
13/01/2001,MER,PM10,52,2
13/01/2001,PED,PM10,62,2
13/01/2001,CES,PM10,78,2
13/01/2001,TLI,PM10,48,2
13/01/2001,VIF,PM10,87,2
13/01/2001,SUR,PM10,55,2
13/01/2001,FAC,PM10,55,2
13/01/2001,HAN,PM10,56,2
13/01/2001,PLA,PM10,59,2
13/01/2001,SAG,PM10,82,2
13/01/2001,TAX,PM10,71,2
14/01/2001,LVI,PM10,90,2
14/01/2001,TLA,PM10,64,2
14/01/2001,MER,PM10,54,2
14/01/2001,PED,PM10,51,2
14/01/2001,CES,PM10,76,2
14/01/2001,TLI,PM10,33,2
14/01/2001,VIF,PM10,82,2
14/01/2001,SUR,PM10,49,2
14/01/2001,FAC,PM10,41,2
14/01/2001,HAN,PM10,57,2
14/01/2001,PLA,PM10,53,2
14/01/2001,SAG,PM10,82,2
14/01/2001,TAX,PM10,67,2
15/01/2001,LVI,PM10,50,2
15/01/2001,TLA,PM10,66,2
15/01/2001,MER,PM10,39,2
15/01/2001,PED,PM10,43,2
15/01/2001,CES,PM10,62,2
15/01/2001,TLI,PM10,38,2
15/01/2001,VIF,PM10,85,2
15/01/2001,TAH,PM10,67,2
15/01/2001,SUR,PM10,42,2
15/01/2001,FAC,PM10,53,2
15/01/2001,HAN,PM10,41,2
15/01/2001,PLA,PM10,45,2
15/01/2001,SAG,PM10,73,2
15/01/2001,TAX,PM10,60,2
16/01/2001,LVI,PM10,70,2
16/01/2001,TLA,PM10,93,2
16/01/2001,XAL,PM10,60,2
16/01/2001,MER,PM10,44,2
16/01/2001,PED,PM10,54,2
16/01/2001,CES,PM10,85,2
16/01/2001,TLI,PM10,44,2
16/01/2001,VIF,PM10,116,2
16/01/2001,TAH,PM10,57,2
16/01/2001,SUR,PM10,50,2
16/01/2001,FAC,PM10,38,2
16/01/2001,HAN,PM10,61,2
16/01/2001,PLA,PM10,55,2
16/01/2001,SAG,PM10,98,2
16/01/2001,TAX,PM10,63,2
17/01/2001,LVI,PM10,79,2
17/01/2001,TLA,PM10,106,2
17/01/2001,XAL,PM10,48,2
17/01/2001,MER,PM10,50,2
17/01/2001,PED,PM10,58,2
17/01/2001,CES,PM10,76,2
17/01/2001,TLI,PM10,53,2
17/01/2001,VIF,PM10,114,2
17/01/2001,SUR,PM10,51,2
17/01/2001,HAN,PM10,64,2
17/01/2001,PLA,PM10,60,2
17/01/2001,SAG,PM10,85,2
17/01/2001,TAX,PM10,64,2
18/01/2001,LVI,PM10,53,2
18/01/2001,TLA,PM10,66,2
18/01/2001,XAL,PM10,82,2
18/01/2001,MER,PM10,34,2
18/01/2001,PED,PM10,53,2
18/01/2001,CES,PM10,79,2
18/01/2001,TLI,PM10,39,2
18/01/2001,VIF,PM10,116,2
18/01/2001,TAH,PM10,69,2
18/01/2001,SUR,PM10,61,2
18/01/2001,FAC,PM10,42,2
18/01/2001,HAN,PM10,47,2
18/01/2001,PLA,PM10,56,2
18/01/2001,SAG,PM10,97,2
18/01/2001,TAX,PM10,57,2
19/01/2001,LVI,PM10,22,2
19/01/2001,TLA,PM10,42,2
19/01/2001,XAL,PM10,75,2
19/01/2001,MER,PM10,18,2
19/01/2001,PED,PM10,29,2
19/01/2001,CES,PM10,41,2
19/01/2001,TLI,PM10,18,2
19/01/2001,VIF,PM10,56,2
19/01/2001,TAH,PM10,47,2
19/01/2001,SUR,PM10,79,2
19/01/2001,HAN,PM10,24,2
19/01/2001,PLA,PM10,32,2
19/01/2001,SAG,PM10,46,2
19/01/2001,TAX,PM10,39,2
20/01/2001,LVI,PM10,58,2
20/01/2001,TLA,PM10,84,2
20/01/2001,MER,PM10,43,2
20/01/2001,PED,PM10,56,2
20/01/2001,CES,PM10,70,2
20/01/2001,TLI,PM10,43,2
20/01/2001,VIF,PM10,70,2
20/01/2001,TAH,PM10,43,2
20/01/2001,FAC,PM10,43,2
20/01/2001,HAN,PM10,47,2
20/01/2001,PLA,PM10,57,2
20/01/2001,SAG,PM10,65,2
20/01/2001,TAX,PM10,66,2
21/01/2001,LVI,PM10,57,2
21/01/2001,TLA,PM10,69,2
21/01/2001,MER,PM10,44,2
21/01/2001,CES,PM10,55,2
21/01/2001,TLI,PM10,35,2
21/01/2001,VIF,PM10,71,2
21/01/2001,TAH,PM10,62,2
21/01/2001,FAC,PM10,46,2
21/01/2001,HAN,PM10,42,2
21/01/2001,PLA,PM10,60,2
21/01/2001,SAG,PM10,67,2
21/01/2001,TAX,PM10,67,2
22/01/2001,LVI,PM10,73,2
22/01/2001,TLA,PM10,76,2
22/01/2001,MER,PM10,43,2
22/01/2001,CES,PM10,52,2
22/01/2001,TLI,PM10,31,2
22/01/2001,VIF,PM10,65,2
22/01/2001,TAH,PM10,66,2
22/01/2001,FAC,PM10,51,2
22/01/2001,HAN,PM10,40,2
22/01/2001,PLA,PM10,67,2
22/01/2001,SAG,PM10,61,2
22/01/2001,TAX,PM10,76,2
23/01/2001,LVI,PM10,106,2
23/01/2001,TLA,PM10,95,2
23/01/2001,XAL,PM10,184,2
23/01/2001,MER,PM10,60,2
23/01/2001,PED,PM10,75,2
23/01/2001,CES,PM10,99,2
23/01/2001,TLI,PM10,52,2
23/01/2001,VIF,PM10,91,2
23/01/2001,TAH,PM10,78,2
23/01/2001,FAC,PM10,49,2
23/01/2001,HAN,PM10,61,2
23/01/2001,PLA,PM10,80,2
23/01/2001,SAG,PM10,93,2
23/01/2001,TAX,PM10,104,2
