Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,2006/01/01 al 2006/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/2006,LVI,PM10,139,2
01/01/2006,TLA,PM10,79,2
01/01/2006,XAL,PM10,224,2
01/01/2006,MER,PM10,125,2
01/01/2006,PED,PM10,68,2
01/01/2006,CES,PM10,127,2
01/01/2006,VIF,PM10,263,2
01/01/2006,TAH,PM10,117,2
01/01/2006,SUR,PM10,127,2
01/01/2006,FAC,PM10,96,2
01/01/2006,HAN,PM10,124,2
01/01/2006,PLA,PM10,75,2
01/01/2006,SAG,PM10,175,2
02/01/2006,LVI,PM10,72,2
02/01/2006,TLA,PM10,70,2
02/01/2006,XAL,PM10,124,2
02/01/2006,MER,PM10,83,2
02/01/2006,PED,PM10,47,2
02/01/2006,CES,PM10,57,2
02/01/2006,VIF,PM10,100,2
02/01/2006,TAH,PM10,82,2
02/01/2006,SUR,PM10,62,2
02/01/2006,FAC,PM10,53,2
02/01/2006,HAN,PM10,80,2
02/01/2006,PLA,PM10,47,2
03/01/2006,LVI,PM10,65,2
03/01/2006,TLA,PM10,60,2
03/01/2006,XAL,PM10,116,2
03/01/2006,MER,PM10,67,2
03/01/2006,PED,PM10,36,2
03/01/2006,CES,PM10,63,2
03/01/2006,VIF,PM10,96,2
03/01/2006,TAH,PM10,72,2
03/01/2006,SUR,PM10,52,2
03/01/2006,FAC,PM10,55,2
03/01/2006,HAN,PM10,88,2
03/01/2006,PLA,PM10,39,2
03/01/2006,TAX,PM10,47,2
04/01/2006,LVI,PM10,75,2
04/01/2006,TLA,PM10,62,2
04/01/2006,XAL,PM10,132,2
04/01/2006,MER,PM10,81,2
04/01/2006,PED,PM10,45,2
04/01/2006,CES,PM10,87,2
04/01/2006,VIF,PM10,125,2
04/01/2006,TAH,PM10,91,2
04/01/2006,SUR,PM10,73,2
04/01/2006,FAC,PM10,62,2
04/01/2006,HAN,PM10,103,2
04/01/2006,PLA,PM10,50,2
04/01/2006,TAX,PM10,64,2
05/01/2006,LVI,PM10,89,2
05/01/2006,TLA,PM10,83,2
05/01/2006,XAL,PM10,136,2
05/01/2006,MER,PM10,91,2
05/01/2006,PED,PM10,57,2
05/01/2006,CES,PM10,97,2
05/01/2006,VIF,PM10,145,2
05/01/2006,TAH,PM10,113,2
05/01/2006,SUR,PM10,85,2
05/01/2006,FAC,PM10,77,2
05/01/2006,HAN,PM10,107,2
05/01/2006,PLA,PM10,71,2
05/01/2006,TAX,PM10,80,2
06/01/2006,TLA,PM10,42,2
06/01/2006,XAL,PM10,60,2
06/01/2006,MER,PM10,42,2
06/01/2006,PED,PM10,33,2
06/01/2006,CES,PM10,34,2
06/01/2006,VIF,PM10,63,2
06/01/2006,SUR,PM10,47,2
06/01/2006,FAC,PM10,42,2
06/01/2006,PLA,PM10,37,2
06/01/2006,TAX,PM10,38,2
07/01/2006,LVI,PM10,67,2
07/01/2006,TLA,PM10,60,2
07/01/2006,XAL,PM10,77,2
07/01/2006,MER,PM10,68,2
07/01/2006,PED,PM10,37,2
07/01/2006,CES,PM10,58,2
07/01/2006,VIF,PM10,96,2
07/01/2006,TAH,PM10,73,2
07/01/2006,SUR,PM10,55,2
07/01/2006,FAC,PM10,51,2
07/01/2006,HAN,PM10,64,2
07/01/2006,PLA,PM10,40,2
07/01/2006,TAX,PM10,52,2
08/01/2006,LVI,PM10,100,2
08/01/2006,TLA,PM10,64,2
08/01/2006,XAL,PM10,105,2
08/01/2006,MER,PM10,91,2
08/01/2006,PED,PM10,50,2
08/01/2006,CES,PM10,85,2
08/01/2006,VIF,PM10,128,2
08/01/2006,TAH,PM10,92,2
08/01/2006,SUR,PM10,90,2
08/01/2006,FAC,PM10,68,2
08/01/2006,HAN,PM10,89,2
08/01/2006,PLA,PM10,51,2
09/01/2006,LVI,PM10,89,2
09/01/2006,TLA,PM10,96,2
09/01/2006,XAL,PM10,130,2
09/01/2006,MER,PM10,95,2
09/01/2006,PED,PM10,45,2
09/01/2006,CES,PM10,82,2
09/01/2006,VIF,PM10,129,2
09/01/2006,TAH,PM10,93,2
09/01/2006,SUR,PM10,76,2
09/01/2006,FAC,PM10,73,2
09/01/2006,HAN,PM10,98,2
09/01/2006,PLA,PM10,52,2
10/01/2006,LVI,PM10,80,2
10/01/2006,TLA,PM10,77,2
10/01/2006,XAL,PM10,131,2
10/01/2006,MER,PM10,92,2
10/01/2006,PED,PM10,55,2
10/01/2006,CES,PM10,88,2
10/01/2006,VIF,PM10,116,2
10/01/2006,TAH,PM10,98,2
10/01/2006,SUR,PM10,77,2
10/01/2006,FAC,PM10,69,2
10/01/2006,HAN,PM10,109,2
10/01/2006,PLA,PM10,66,2
11/01/2006,LVI,PM10,81,2
11/01/2006,TLA,PM10,88,2
11/01/2006,XAL,PM10,101,2
11/01/2006,MER,PM10,88,2
11/01/2006,PED,PM10,56,2
11/01/2006,CES,PM10,74,2
11/01/2006,VIF,PM10,108,2
