Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,1996/01/01 al 1996/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/1996,LVI,PM10,26,2
01/01/1996,TLA,PM10,23,2
01/01/1996,XAL,PM10,74,2
01/01/1996,MER,PM10,22,2
01/01/1996,PED,PM10,30,2
01/01/1996,CES,PM10,25,2
01/01/1996,NET,PM10,31,2
02/01/1996,LVI,PM10,27,2
02/01/1996,TLA,PM10,30,2
02/01/1996,XAL,PM10,88,2
02/01/1996,MER,PM10,26,2
02/01/1996,PED,PM10,37,2
02/01/1996,CES,PM10,35,2
02/01/1996,NET,PM10,63,2
02/01/1996,VIF,PM10,25,2
03/01/1996,LVI,PM10,60,2
03/01/1996,TLA,PM10,61,2
03/01/1996,XAL,PM10,159,2
03/01/1996,MER,PM10,37,2
03/01/1996,PED,PM10,30,2
03/01/1996,CES,PM10,55,2
03/01/1996,NET,PM10,61,2
03/01/1996,VIF,PM10,55,2
04/01/1996,LVI,PM10,40,2
04/01/1996,TLA,PM10,65,2
04/01/1996,XAL,PM10,134,2
04/01/1996,MER,PM10,42,2
04/01/1996,PED,PM10,35,2
04/01/1996,CES,PM10,53,2
04/01/1996,NET,PM10,64,2
04/01/1996,VIF,PM10,71,2
04/01/1996,TAH,PM10,32,2
05/01/1996,LVI,PM10,46,2
05/01/1996,TLA,PM10,46,2
05/01/1996,XAL,PM10,186,2
05/01/1996,MER,PM10,56,2
05/01/1996,PED,PM10,42,2
05/01/1996,CES,PM10,55,2
05/01/1996,NET,PM10,89,2
05/01/1996,VIF,PM10,70,2
05/01/1996,TAH,PM10,36,2
06/01/1996,LVI,PM10,81,2
06/01/1996,TLA,PM10,76,2
06/01/1996,XAL,PM10,170,2
06/01/1996,MER,PM10,62,2
06/01/1996,PED,PM10,50,2
06/01/1996,CES,PM10,57,2
06/01/1996,NET,PM10,102,2
06/01/1996,VIF,PM10,80,2
06/01/1996,TAH,PM10,34,2
07/01/1996,LVI,PM10,60,2
07/01/1996,TLA,PM10,57,2
07/01/1996,XAL,PM10,134,2
07/01/1996,MER,PM10,74,2
07/01/1996,PED,PM10,50,2
07/01/1996,CES,PM10,58,2
07/01/1996,NET,PM10,116,2
07/01/1996,VIF,PM10,48,2
07/01/1996,TAH,PM10,62,2
08/01/1996,LVI,PM10,95,2
08/01/1996,TLA,PM10,82,2
08/01/1996,XAL,PM10,176,2
08/01/1996,MER,PM10,85,2
08/01/1996,PED,PM10,75,2
08/01/1996,CES,PM10,62,2
08/01/1996,NET,PM10,109,2
08/01/1996,VIF,PM10,48,2
08/01/1996,TAH,PM10,66,2
09/01/1996,LVI,PM10,85,2
09/01/1996,TLA,PM10,60,2
09/01/1996,XAL,PM10,228,2
09/01/1996,MER,PM10,74,2
09/01/1996,PED,PM10,43,2
09/01/1996,CES,PM10,69,2
09/01/1996,NET,PM10,114,2
09/01/1996,VIF,PM10,64,2
09/01/1996,TAH,PM10,65,2
10/01/1996,LVI,PM10,86,2
10/01/1996,TLA,PM10,86,2
10/01/1996,XAL,PM10,261,2
10/01/1996,MER,PM10,74,2
10/01/1996,PED,PM10,70,2
