Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,1997/01/01 al 1997/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/1997,VAL,SO2,12,1
01/01/1997,SUR,SO2,8,1
01/01/1997,TAC,SO2,10,1
01/01/1997,FAC,SO2,8,1
01/01/1997,LLA,SO2,13,1
01/01/1997,LPR,SO2,13,1
01/01/1997,LVI,SO2,6,1
01/01/1997,SAG,SO2,9,1
01/01/1997,AZC,SO2,11,1
01/01/1997,TLA,SO2,12,1
01/01/1997,XAL,SO2,19,1
01/01/1997,MER,SO2,14,1
01/01/1997,PED,SO2,10,1
01/01/1997,CES,SO2,9,1
01/01/1997,HAN,SO2,15,1
01/01/1997,ARA,SO2,13,1
01/01/1997,LAG,SO2,16,1
01/01/1997,PLA,SO2,7,1
01/01/1997,UIZ,SO2,13,1
01/01/1997,BJU,SO2,5,1
01/01/1997,TAX,SO2,18,1
02/01/1997,VAL,SO2,16,1
02/01/1997,SUR,SO2,8,1
02/01/1997,TAC,SO2,14,1
02/01/1997,FAC,SO2,10,1
02/01/1997,LLA,SO2,16,1
02/01/1997,LPR,SO2,15,1
02/01/1997,LVI,SO2,9,1
02/01/1997,SAG,SO2,9,1
02/01/1997,AZC,SO2,12,1
02/01/1997,TLA,SO2,22,1
02/01/1997,XAL,SO2,26,1
02/01/1997,MER,SO2,16,1
02/01/1997,PED,SO2,10,1
02/01/1997,CES,SO2,11,1
02/01/1997,HAN,SO2,18,1
02/01/1997,ARA,SO2,15,1
02/01/1997,LAG,SO2,21,1
02/01/1997,PLA,SO2,9,1
02/01/1997,UIZ,SO2,14,1
02/01/1997,BJU,SO2,6,1
02/01/1997,TAX,SO2,18,1
03/01/1997,VAL,SO2,13,1
03/01/1997,SUR,SO2,8,1
03/01/1997,TAC,SO2,15,1
03/01/1997,FAC,SO2,7,1
03/01/1997,LLA,SO2,19,1
03/01/1997,LPR,SO2,14,1
03/01/1997,LVI,SO2,9,1
03/01/1997,SAG,SO2,10,1
03/01/1997,AZC,SO2,11,1
03/01/1997,TLA,SO2,15,1
03/01/1997,XAL,SO2,28,1
03/01/1997,MER,SO2,15,1
03/01/1997,PED,SO2,9,1
03/01/1997,CES,SO2,15,1
03/01/1997,HAN,SO2,17,1
03/01/1997,ARA,SO2,14,1
03/01/1997,LAG,SO2,20,1
03/01/1997,PLA,SO2,7,1
03/01/1997,UIZ,SO2,13,1
03/01/1997,BJU,SO2,5,1
03/01/1997,TAX,SO2,15,1
04/01/1997,VAL,SO2,10,1
04/01/1997,SUR,SO2,8,1
04/01/1997,TAC,SO2,14,1
04/01/1997,FAC,SO2,5,1
04/01/1997,LLA,SO2,20,1
04/01/1997,LPR,SO2,13,1
04/01/1997,LVI,SO2,8,1
04/01/1997,SAG,SO2,10,1
04/01/1997,AZC,SO2,11,1
04/01/1997,TLA,SO2,15,1
04/01/1997,XAL,SO2,26,1
04/01/1997,MER,SO2,17,1
04/01/1997,PED,SO2,9,1
04/01/1997,CES,SO2,18,1
04/01/1997,HAN,SO2,20,1
04/01/1997,ARA,SO2,16,1
04/01/1997,LAG,SO2,16,1
04/01/1997,PLA,SO2,8,1
04/01/1997,UIZ,SO2,17,1
04/01/1997,BJU,SO2,5,1
04/01/1997,TAX,SO2,17,1
05/01/1997,VAL,SO2,12,1
05/01/1997,SUR,SO2,8,1
05/01/1997,TAC,SO2,9,1
05/01/1997,FAC,SO2,5,1
05/01/1997,LLA,SO2,19,1
05/01/1997,LPR,SO2,14,1
05/01/1997,LVI,SO2,8,1
05/01/1997,SAG,SO2,10,1
05/01/1997,AZC,SO2,9,1
