Pollutants
city: Ciudad de M&eacute;xico	
cityCode: MEX
country: M&eacute;xico		
mesurementAgency: SIMAT		
URL: http://www.aire.df.gob.mx
timeStamp:,2005/01/01 al 2005/12/31		
average_interval: 001h		
date,id_station,id_parameter,value,unit
01/01/2005,VAL,SO2,22,1
01/01/2005,SUR,SO2,15,1
01/01/2005,TAC,SO2,16,1
01/01/2005,LPR,SO2,20,1
01/01/2005,LVI,SO2,21,1
01/01/2005,SAG,SO2,14,1
01/01/2005,AZC,SO2,23,1
01/01/2005,TLA,SO2,26,1
01/01/2005,XAL,SO2,28,1
01/01/2005,MER,SO2,22,1
01/01/2005,PED,SO2,12,1
01/01/2005,CES,SO2,17,1
01/01/2005,HAN,SO2,31,1
01/01/2005,ARA,SO2,22,1
01/01/2005,TLI,SO2,30,1
01/01/2005,ATI,SO2,22,1
01/01/2005,VIF,SO2,18,1
01/01/2005,TAH,SO2,14,1
01/01/2005,PLA,SO2,10,1
01/01/2005,UIZ,SO2,18,1
01/01/2005,TAX,SO2,12,1
02/01/2005,VAL,SO2,18,1
02/01/2005,SUR,SO2,9,1
02/01/2005,TAC,SO2,10,1
02/01/2005,LVI,SO2,24,1
02/01/2005,SAG,SO2,12,1
02/01/2005,AZC,SO2,13,1
02/01/2005,TLA,SO2,16,1
02/01/2005,XAL,SO2,20,1
02/01/2005,MER,SO2,22,1
02/01/2005,PED,SO2,6,1
02/01/2005,CES,SO2,11,1
02/01/2005,HAN,SO2,22,1
02/01/2005,ARA,SO2,10,1
02/01/2005,TLI,SO2,21,1
02/01/2005,ATI,SO2,15,1
02/01/2005,VIF,SO2,24,1
02/01/2005,TAH,SO2,11,1
02/01/2005,PLA,SO2,5,1
02/01/2005,UIZ,SO2,15,1
02/01/2005,TAX,SO2,8,1
03/01/2005,VAL,SO2,20,1
03/01/2005,SUR,SO2,11,1
03/01/2005,TAC,SO2,13,1
03/01/2005,LVI,SO2,32,1
03/01/2005,SAG,SO2,19,1
03/01/2005,AZC,SO2,13,1
03/01/2005,TLA,SO2,15,1
03/01/2005,XAL,SO2,26,1
03/01/2005,MER,SO2,25,1
03/01/2005,PED,SO2,9,1
03/01/2005,CES,SO2,12,1
03/01/2005,HAN,SO2,30,1
03/01/2005,ARA,SO2,18,1
03/01/2005,ATI,SO2,15,1
03/01/2005,VIF,SO2,18,1
03/01/2005,TAH,SO2,9,1
03/01/2005,PLA,SO2,7,1
03/01/2005,UIZ,SO2,19,1
03/01/2005,TAX,SO2,11,1
04/01/2005,VAL,SO2,14,1
04/01/2005,SUR,SO2,10,1
04/01/2005,TAC,SO2,14,1
04/01/2005,LVI,SO2,21,1
04/01/2005,SAG,SO2,10,1
04/01/2005,AZC,SO2,15,1
04/01/2005,TLA,SO2,21,1
04/01/2005,XAL,SO2,26,1
04/01/2005,MER,SO2,17,1
04/01/2005,PED,SO2,7,1
04/01/2005,CES,SO2,12,1
