,date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL,O3_OBREGON,PM10_OBREGON,O3_AZCAPOTZALCO,PM10_AZCAPOTZALCO,O3_BENITOJUAREZ,PM10_BENITOJUAREZ,O3_COYOACAN,PM10_COYOACAN,O3_CUAJIMALPA,PM10_CUAJIMALPA,O3_CUAUHTEMOC,PM10_CUAUHTEMOC,O3_IZTACALCO,PM10_IZTACALCO,O3_IZTAPALAPA,PM10_IZTAPALAPA,O3_MIGUELHIDALGO,PM10_MIGUELHIDALGO,O3_MILPAALTA,PM10_MILPAALTA,O3_TLALPAN,PM10_TLALPAN,O3_VENUSTIANO,PM10_VENUSTIANO,O3_XOCHIMILCO,PM10_XOCHIMILCO,O3_TOTAL_avg,PM10_TOTAL_avg
0,2011-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14768779980623362,,,,,,0.011212455513181192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2011-12-26,0.8000192004608111,,8.74647954198435,0.07381418969176587,2.3956915882476957,,2.9581957635349783,,1.0038951130385898,,8.82541268193025,,6.183033241532465,0.02536551598807596,10.759629868732517,,2.6260101932962336,,2.4601658151759427,0.12111215880061472,10.152590694190248,0.08104939361936216,5.800169654962407,,8.849728838777299,0.08168731131754962,5.464448592830643,,10.29810678668642,0.06913203334069816,3.125503386362708,,5.124092169523807,0.00012571915863506734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2011-12-27,2.666730668202704,,9.246278372954883,0.036907094845882935,1.437414952948617,,2.4651631362791484,0.04854326930140025,1.5058426695578846,,10.139835847324118,,5.066652239589104,,10.503448205191264,,2.7354272846835763,,0.4100276358626571,,9.32940766493158,,5.800169654962407,,5.254526498024021,0.04084365565877481,6.498263191474277,,9.361915260624018,,5.7701600979003835,,5.101667258497443,0.057453655496225775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2011-12-28,1.8667114677418928,0.03938435850626645,7.996781295528549,0.036907094845882935,0.9582766352990782,,2.1364747181085955,0.024271634650700133,,,12.768682178111849,,5.6677804714047575,0.012682757994037978,9.478721551026263,,3.0089700131519344,0.01615956948819429,,,9.603802008017805,0.04052469680968108,7.25021206870301,,4.4248644193886495,,6.350575391668045,,9.83001102365522,0.03456601667034908,2.644656711537676,,5.000755158878811,0.057202217178955635,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2011-12-29,0.4000096002304056,,8.996378957469616,0.07381418969176587,0.7187074764743087,,3.6155725998760846,0.024271634650700133,,,9.200962157757068,,6.354784164908367,0.012682757994037978,8.197813233320014,0.07566981247821616,2.790135830377248,0.008079784744097145,3.280221086901257,,7.957435949500465,,5.075148448092107,,4.70141844560044,0.04084365565877481,5.464448592830643,,11.234298312748821,0.03456601667034908,,,4.6643814934833765,0.056070744751240034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2011-12-30,0.4000096002304056,,12.494970774263358,0.036907094845882935,0.4791383176495391,,3.1225399726202547,0.04854326930140025,0.5019475565192949,,5.257692661575468,,5.410154086340908,0.02536551598807596,11.528174859356264,,3.337221287313964,0.008079784744097145,0.8200552717253142,,6.859858577155572,,7.25021206870301,,4.4248644193886495,0.08168731131754962,4.578321793993243,0.04362337242321227,7.489532208499213,,,,4.350432739114304,0.05229916999218802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2011-12-31,0.13333653341013518,,9.496177788440152,0.036907094845882935,1.437414952948617,,,,,,7.886538992363203,,2.576263850638527,0.012682757994037978,3.3303616260362547,,1.5318392794228028,0.01615956948819429,1.2300829075879711,,2.4695490877760062,,6.5251908618327095,,1.3827701310589529,,3.8398827949620737,0.02181168621160614,2.3404788151560045,0.06913203334069816,,,2.4667402128998632,0.04877903355040614,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2012-01-01,,,11.495373112322287,0.036907094845882935,2.156122429422926,,,,,,5.069917923662059,,2.7480147740144294,0.012682757994037978,12.296719849980018,,2.078924736359518,0.008079784744097145,0.4100276358626571,,2.4695490877760062,,7.25021206870301,0.2141535737110698,0.5531080524235812,,6.055199792055577,0.02181168621160614,8.659771616077219,,,,3.363736653954358,0.027658214899714817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2012-01-02,0.9333557338709464,,14.99396492911603,0.07381418969176587,0.7187074764743087,,2.1364747181085955,0.024271634650700133,0.5019475565192949,,9.764286371497297,,5.066652239589104,0.012682757994037978,7.941631569778763,0.03783490623910808,3.4466383787013064,,2.8701934510386,,8.780618978759135,,7.25021206870301,,2.7655402621179057,,3.5445071953496066,,7.957627971530415,,,,4.552256938351563,0.0377157475905202,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2012-01-03,1.2000288006912163,,13.744467851689693,0.036907094845882935,0.9582766352990782,,2.9581957635349783,0.024271634650700133,0.5019475565192949,,9.576511633583886,,3.77852031426984,0.02536551598807596,9.991084878108763,,2.790135830377248,,3.280221086901257,,8.231830292586688,0.04052469680968108,3.625106034351505,0.1070767868555349,4.14831039317686,0.04084365565877481,4.1352583945745405,,7.723580090014813,0.03456601667034908,,,4.384070105653847,0.05104197840583734,,,,,,,,,,,,,,,,,,,,,,,,,,,,
