,date,Cases/100k_ÁLVARO OBREGÓN,ASMA/100k_ÁLVARO OBREGÓN,Cases/100k_AZCAPOTZALCO,ASMA/100k_AZCAPOTZALCO,Cases/100k_BENITO JUÁREZ,ASMA/100k_BENITO JUÁREZ,Cases/100k_COYOACÁN,ASMA/100k_COYOACÁN,Cases/100k_CUAJIMALPA DE MORELOS,ASMA/100k_CUAJIMALPA DE MORELOS,Cases/100k_CUAUHTÉMOC,ASMA/100k_CUAUHTÉMOC,Cases/100k_GUSTAVO A. MADERO,ASMA/100k_GUSTAVO A. MADERO,Cases/100k_IZTACALCO,ASMA/100k_IZTACALCO,Cases/100k_IZTAPALAPA,ASMA/100k_IZTAPALAPA,Cases/100k_LA MAGDALENA CONTRERAS,ASMA/100k_LA MAGDALENA CONTRERAS,Cases/100k_MIGUEL HIDALGO,ASMA/100k_MIGUEL HIDALGO,Cases/100k_MILPA ALTA,ASMA/100k_MILPA ALTA,Cases/100k_TLÁHUAC,ASMA/100k_TLÁHUAC,Cases/100k_TLALPAN,ASMA/100k_TLALPAN,Cases/100k_VENUSTIANO CARRANZA,ASMA/100k_VENUSTIANO CARRANZA,Cases/100k_XOCHIMILCO,ASMA/100k_XOCHIMILCO,Cases/100k_TOTAL,ASMA/100k_TOTAL
14,10/01/2012,1.866711468,,12.49497077,0.110721285,0.958276635,,2.629507345,0.024271635,0.501947557,,16.14862746,,6.268908703,,10.75962987,,2.844844376,0.008079785,2.050138179,,9.329407665,,4.350127241,,4.424864419,,6.498263191,0.021811686,9.595963142,,,,,
15,11/01/2012,1.466701868,,12.74487019,0.036907095,1.437414953,,4.601637854,0.048543269,,,10.32761059,,6.09715778,,6.404541589,,3.17309565,0.008079785,2.050138179,,6.311069891,,5.800169655,,7.743512734,0.040843656,6.793638791,0.043623372,8.659771616,0.034566017,,,,
16,12/01/2012,1.200028801,,11.99517194,0.036907095,0.479138318,,3.944261018,,0.501947557,,7.886538992,,6.526535088,0.025365516,16.1394448,,2.297758919,,3.280221087,,4.664703832,,15.95046655,,6.360742603,0.040843656,8.122828989,,9.830011024,0.034566017,,,,
17,13/01/2012,1.866711468,,16.24346201,0.036907095,0.958276635,,3.6155726,0.048543269,1.003895113,,5.821016875,,6.354784165,0.025365516,10.50344821,,3.829598199,,1.230082908,,9.878196351,0.040524697,12.32536052,,4.148310393,0.040843656,6.498263191,0.021811686,9.361915261,0.069132033,4.808466748,,,
18,15/01/2012,1.466701868,,13.49456844,0.07381419,0.718707476,,,,,,14.45865482,,7.041787858,,20.49453308,,2.626010193,0.008079785,1.640110543,,7.683041606,0.040524697,6.525190862,,1.935878183,,7.089014391,,14.27692077,0.069132033,,,,
19,17/01/2012,0.8000192,,12.24507136,0.036907095,1.197845794,,6.245079945,0.024271635,,,11.64203375,,7.299414243,0.012682758,10.50344821,,3.227804196,,2.460165815,0.060556079,9.055013322,0.081049394,6.525190862,,5.531080524,0.040843656,7.82745339,,3.744766104,0.10369805,5.52973676,,,
20,18/01/2012,0.133336533,,12.49497077,0.036907095,1.676984112,,3.122539973,0.024271635,,,11.07870954,,6.09715778,0.012682758,10.24726654,0.037834906,3.55605547,0.016159569,2.050138179,,8.231830293,,7.975233276,,4.148310393,0.081687311,8.270516789,0.043623372,6.553340682,0.034566017,5.048890086,,,
21,19/01/2012,1.600038401,,13.99436727,0.036907095,1.197845794,,3.122539973,0.024271635,,,10.70316006,,7.814667014,0.012682758,12.29671985,0.075669812,3.829598199,,4.92033163,,13.9941115,,7.250212069,,5.254526498,0.081687311,5.316760793,,11.46834619,0.034566017,3.365926724,,,
22,20/01/2012,2.800067202,,14.24426668,0.036907095,0.958276635,,5.752047318,0.048543269,,,10.51538532,0.055464076,5.925406856,0.025365516,8.197813233,0.037834906,2.461884556,,0.820055272,,8.506224636,,10.8753181,,4.977972472,,5.907511992,0.021811686,8.659771616,,3.846773399,,,
23,21/01/2012,0.666682667,,12.24507136,0.110721285,1.437414953,,0.821721045,,,,5.069917924,,9.360425324,0.050731032,16.65180813,,3.501346924,,3.280221087,0.121112159,7.408647263,0.040524697,10.8753181,,1.382770131,,6.645950991,0.043623372,11.46834619,0.034566017,2.163810037,,,
24,22/01/2012,1.200028801,,13.49456844,0.07381419,1.676984112,,0.986065255,,,,8.07431373,0.027732038,8.244044322,0.012682758,13.57762817,,3.118387105,0.016159569,1.230082908,,9.329407665,0.040524697,8.700254482,,3.318648315,,7.53207779,0.043623372,11.00025043,0.034566017,1.682963362,,,
25,23/01/2012,0.533346134,,12.24507136,0.07381419,2.156122429,,4.272949436,0.097086539,1.003895113,,10.8909348,,5.753655933,0.012682758,14.85853649,,3.829598199,0.024239354,2.050138179,0.060556079,7.95743595,0.040524697,13.77540293,,9.955944944,0.122530967,8.418204589,,9.361915261,,2.163810037,,,
26,24/01/2012,1.333365334,,17.7428585,0.147628379,,,3.286884182,0.024271635,0.501947557,,6.384341089,,6.698286012,,10.75962987,,3.391929833,,2.050138179,,11.25016807,0.081049394,2.900084827,,5.531080524,0.040843656,7.82745339,0.065435059,12.6385856,0.069132033,6.010583435,,,
27,25/01/2012,2.400057601,,12.49497077,0.07381419,,,2.958195764,0.024271635,0.501947557,,14.45865482,,6.526535088,0.012682758,9.222539887,,4.540809293,,3.280221087,,8.780618979,0.040524697,10.8753181,,6.084188577,0.040843656,9.304331388,0.021811686,11.23429831,,1.682963362,,,
28,26/01/2012,4.533442136,,14.4941661,0.07381419,1.197845794,,2.465163136,0.024271635,0.501947557,,8.825412682,,6.698286012,,14.34617316,,3.063678559,,2.460165815,,11.25016807,0.081049394,5.800169655,,9.402836891,,6.793638791,,9.595963142,0.138264067,3.125503386,,,
29,27/01/2012,3.466749869,,10.99557428,0.07381419,1.437414953,,2.793851554,0.024271635,,,9.576511634,0.027732038,6.526535088,0.012682758,5.892178261,,3.446638379,,2.870193451,,10.97577372,0.081049394,9.425275689,,4.424864419,,6.793638791,,11.46834619,0.034566017,6.49143011,,,
30,28/01/2012,1.333365334,,9.496177788,0.07381419,1.916553271,,2.629507345,0.072814904,0.501947557,,9.764286371,0.027732038,6.870036935,0.038048274,11.01581153,,3.610764016,0.008079785,1.640110543,,7.683041606,,10.1502969,,4.977972472,,7.82745339,0.021811686,7.255484327,0.034566017,,,,
31,29/01/2012,1.733374934,,11.99517194,0.036907095,0.718707476,,0.164344209,,,,11.45425901,,8.072293399,0.025365516,9.222539887,,3.610764016,,1.230082908,,6.036675548,0.12157409,5.075148448,,1.382770131,,5.907511992,,6.787388564,,,,,
32,30/01/2012,2.533394135,,12.49497077,0.07381419,1.197845794,,0.986065255,,0.501947557,,4.318818972,,5.496029548,0.025365516,10.75962987,0.037834906,2.626010193,0.008079785,1.640110543,,9.329407665,,4.350127241,,7.743512734,0.040843656,6.941326591,0.021811686,8.659771616,0.034566017,5.52973676,,,
33,31/01/2012,2.000048001,,8.996378957,0.07381419,1.197845794,,2.300818927,0.048543269,,,9.764286371,,6.268908703,0.050731032,9.222539887,0.037834906,2.243050373,,0.410027636,,6.585464234,0.040524697,4.350127241,,5.80763455,0.040843656,4.430633994,0.021811686,7.489532208,0.034566017,6.972276785,0.071015187,,
34,01/02/2012,0.8000192,,10.24587603,0.036907095,0.958276635,,1.314753673,0.048543269,,,7.323214779,,5.667780471,0.025365516,7.94163157,,2.680718739,0.008079785,0.410027636,,13.71971715,0.040524697,7.250212069,,6.360742603,0.081687311,3.101443796,,7.021436445,0.10369805,2.644656712,,,
35,02/02/2012,1.200028801,,11.74527253,0.07381419,0.958276635,,3.944261018,0.097086539,1.003895113,,8.449863206,,5.58190501,0.025365516,7.685449906,,2.024216191,0.008079785,1.640110543,,7.95743595,0.040524697,7.975233276,,5.254526498,,4.282946194,0.043623372,6.787388564,0.069132033,4.087196736,,,
36,03/02/2012,1.066692267,,8.996378957,0.07381419,0.718707476,,1.150409464,0.048543269,,,7.886538992,,4.809025855,,4.098906617,,2.899552922,,0.410027636,,10.42698504,,7.975233276,,4.701418446,,5.021385193,0.087246745,8.425723735,,2.885080049,0.035507594,,
37,04/02/2012,0.8000192,,11.2454737,0.036907095,1.676984112,,1.150409464,,0.501947557,,9.952061109,,2.833890236,,8.71017656,,2.954261467,0.016159569,,,4.115915146,0.040524697,5.800169655,,2.488986236,,2.806068196,,6.319292801,0.069132033,,,,
38,05/02/2012,0.8000192,,9.746077204,0.036907095,0.718707476,,2.958195764,0.048543269,,,4.131044234,,5.667780471,0.025365516,10.24726654,,2.571301648,0.032319139,1.230082908,,7.95743595,,5.800169655,,2.21243221,,3.987570595,,7.489532208,0.138264067,1.202116687,,,
39,06/02/2012,0.933355734,,10.49577545,0.110721285,0.239569159,,3.6155726,0.048543269,,,10.51538532,,5.839531395,0.025365516,8.453994897,,2.352467465,0.008079785,0.410027636,,8.231830293,,4.350127241,,7.743512734,0.163374623,3.101443796,0.021811686,7.021436445,0.069132033,,,,
40,07/02/2012,0.133336533,,7.247083049,0.036907095,0.479138318,,2.465163136,0.048543269,0.501947557,,6.008791613,,3.692644853,0.012682758,8.197813233,,2.407176011,0.008079785,2.050138179,,9.878196351,0.081049394,3.625106034,,3.042094288,,5.169072993,0.021811686,10.29810679,0.069132033,3.606350061,,,
41,14/02/2012,0.4000096,,6.497384803,0.036907095,1.197845794,,3.122539973,0.048543269,,,7.886538992,,4.980776778,0.012682758,1.793271645,,1.914799099,,1.640110543,,5.213492519,0.040524697,7.250212069,0.107076787,1.659324157,,5.464448593,,7.255484327,0.034566017,4.327620073,,,
42,15/02/2012,1.200028801,,9.746077204,0.036907095,1.197845794,,3.286884182,0.048543269,,,9.01318742,,5.667780471,0.038048274,7.429268243,,2.516593102,0.016159569,2.460165815,,7.13425292,0.040524697,4.350127241,,1.382770131,,3.839882795,0.065435059,7.957627972,0.069132033,3.846773399,,,
43,16/02/2012,0.266673067,,8.996378957,0.110721285,0.479138318,,4.765982063,0.024271635,1.003895113,,4.694368448,,4.465524008,0.012682758,4.35508828,,2.626010193,,3.280221087,,6.859858577,0.12157409,5.075148448,,3.871756367,0.040843656,4.282946194,,5.617149156,0.069132033,3.125503386,,,
44,17/02/2012,1.333365334,,7.996781296,0.036907095,0.958276635,,2.958195764,0.024271635,1.003895113,,7.886538992,,5.152527701,0.038048274,7.429268243,,3.063678559,0.016159569,0.820055272,,4.939098176,,8.700254482,,5.254526498,0.040843656,6.645950991,0.043623372,7.72358009,0.034566017,0.721270012,,,
45,18/02/2012,0.133336533,,7.247083049,0.036907095,0.958276635,,0.493032627,0.072814904,,,2.441071593,,6.011282318,,9.222539887,,2.352467465,,0.820055272,,6.859858577,0.081049394,2.175063621,,3.042094288,0.122530967,4.873697394,,5.149053393,,0.240423337,,,
46,19/02/2012,0.8000192,,12.74487019,0.07381419,0.239569159,,,,0.501947557,,4.50659371,,5.238403163,0.050731032,15.62708148,0.037834906,3.501346924,,,,1.646366059,,4.350127241,,2.765540262,0.081687311,5.759824192,0.043623372,8.659771616,0.034566017,1.682963362,,,
47,20/02/2012,1.200028801,,15.99356259,0.036907095,0.958276635,,2.793851554,0.024271635,0.501947557,,8.262088468,,6.870036935,0.012682758,10.75962987,,2.461884556,0.032319139,0.410027636,,6.311069891,0.081049394,7.975233276,,7.743512734,0.081687311,7.82745339,0.087246745,7.255484327,,,,,
48,21/02/2012,0.933355734,,10.74567487,0.036907095,0.958276635,,2.793851554,0.072814904,,,11.64203375,,5.753655933,0.025365516,10.75962987,,1.586547825,,2.460165815,0.060556079,6.311069891,0.162098787,2.175063621,,4.977972472,0.163374623,4.873697394,,7.489532208,0.10369805,,,,
49,22/02/2012,0.8000192,,10.74567487,0.036907095,0.479138318,,2.793851554,0.097086539,,,7.135440041,,4.894901316,0.012682758,10.24726654,,1.641256371,,2.870193451,,3.56712646,0.081049394,5.075148448,,4.701418446,,4.135258395,0.043623372,8.659771616,0.034566017,4.327620073,,,
50,23/02/2012,0.533346134,,11.49537311,0.036907095,0.239569159,,4.765982063,0.024271635,0.501947557,,5.821016875,,4.637274931,,4.867451607,,2.735427285,,1.640110543,,4.390309489,,3.625106034,,3.595202341,0.081687311,5.169072993,0.043623372,8.893819498,,,,,
51,24/02/2012,0.533346134,,7.496982465,0.036907095,0.239569159,,4.930326273,0.048543269,,,7.323214779,,6.61241055,,8.71017656,,2.680718739,,1.230082908,,2.743943431,,6.525190862,,6.084188577,0.081687311,3.987570595,0.043623372,7.255484327,0.10369805,4.087196736,,,
52,25/02/2012,0.4000096,,10.24587603,0.147628379,,,0.821721045,,,,8.262088468,0.027732038,6.011282318,,6.916904916,,1.860090554,0.016159569,0.410027636,,6.859858577,0.081049394,3.625106034,,1.935878183,,2.806068196,,6.787388564,0.138264067,0.96169335,,,
53,26/02/2012,1.200028801,,11.99517194,0.07381419,0.718707476,,0.164344209,,,,8.07431373,,5.839531395,0.012682758,6.404541589,,1.860090554,0.016159569,0.820055272,,8.780618979,,5.800169655,,1.935878183,,3.692194995,,6.787388564,0.034566017,7.45312346,,,
54,27/02/2012,0.933355734,,13.99436727,0.036907095,1.437414953,,2.300818927,0.024271635,1.50584267,,10.51538532,0.027732038,5.152527701,0.012682758,6.148359925,0.037834906,2.133633282,,1.230082908,,11.79895675,0.081049394,5.800169655,,3.318648315,,5.464448593,0.043623372,9.127867379,0.069132033,3.606350061,,,
55,28/02/2012,0.933355734,,12.74487019,0.036907095,0.479138318,,2.793851554,0.024271635,,,8.637637944,,4.723150393,0.012682758,9.478721551,,2.024216191,0.016159569,1.640110543,,10.97577372,0.081049394,6.525190862,,4.148310393,0.081687311,4.726009594,0.021811686,5.149053393,,3.125503386,0.035507594,,
56,29/02/2012,0.266673067,,12.24507136,0.07381419,0.718707476,,2.793851554,,,,9.01318742,,4.207897623,0.038048274,10.24726654,,2.516593102,,0.820055272,,10.97577372,0.040524697,5.075148448,,3.318648315,,5.612136393,,9.127867379,0.034566017,5.770160098,0.071015187,,
57,01/03/2012,0.8000192,,9.746077204,0.036907095,0.239569159,,3.6155726,0.024271635,2.007790226,,9.764286371,,7.728791552,0.012682758,5.892178261,,1.641256371,,1.230082908,,8.780618979,0.081049394,5.075148448,,6.637296629,,4.726009594,0.043623372,7.021436445,0.034566017,3.846773399,0.035507594,,
58,02/03/2012,1.466701868,,10.99557428,0.036907095,0.239569159,,2.300818927,0.024271635,0.501947557,,6.759890565,,3.520893929,0.012682758,4.35508828,,2.571301648,,2.870193451,,11.52456241,0.081049394,5.075148448,,2.488986236,,4.578321794,0.043623372,5.851197038,,4.568043411,0.035507594,,
59,03/03/2012,0.666682667,,10.99557428,0.036907095,0.239569159,,3.779916809,0.072814904,1.003895113,,8.262088468,,6.011282318,0.025365516,11.52817486,,2.626010193,0.016159569,,,6.859858577,0.040524697,4.350127241,,2.488986236,,2.363004797,,5.383101275,0.034566017,4.087196736,,,
60,04/03/2012,0.4000096,,10.49577545,0.036907095,,,4.272949436,0.024271635,,,10.32761059,,6.09715778,0.012682758,12.04053819,,3.118387105,0.008079785,0.410027636,,8.780618979,0.081049394,3.625106034,,1.935878183,,3.692194995,,4.915005512,,2.404233374,0.035507594,,
