cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,Ciudad,Municipio
EAJ,Ecoguardas Ajusco,-99.203971,19.271222,2584,,4.84E+11,Ciudad de Mexico,Tlalpan
EDL,Exconv. Desierto Leones,-99.310635,19.313357,2980,,4.84E+11,Ciudad de Mexico,Cuajimalpa de Morelos
FAC,FES Acatlán,-99.243524,19.482473,2299,,4.84E+11,Estado de Mexico,Naucalpan de Juarez
FAN,Felipe Ángeles,-99.17492,19.299126,2279,Finalizó operación en 1996,4.84E+11,Ciudad de Mexico,Tlalpan
GAM,Gustavo A. Madero,-99.094517,19.4827,2227,,4.84E+11,Ciudad de Mexico,Gustavo A Madero
HAN,Hangares,-99.083623,19.420518,2235,Finalizó operación en 2006,4.84E+11,Ciudad de Mexico,Benito Juarez
HGM,Hospital General de México,-99.152207,19.411617,2234,,4.84E+11,Ciudad de Mexico,Cuauhtemoc
IBM,Legaria,-99.21536,19.443319,2314,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
IMP,Inst. Mexicano del Petróleo,-99.147294,19.487561,2250,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
INN,Investigaciones Nucleares,-99.38052,19.291968,3082,,4.84E+11,Estado de Mexico,Ocoyoacac
IZT,Iztacalco,-99.117641,19.384413,2238,,4.84E+11,Ciudad de Mexico,Iztacalco
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255,,4.84E+11,Ciudad de Mexico,Venustiano Carranza
LAG,Lagunilla,-99.135183,19.44242,2223,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Cuauhtemoc
LLA,Los Laureles,-99.039644,19.578792,2230,,4.84E+11,Estado de Mexico,Ecatepec de Morelos
LOM,Lomas,-99.242062,19.403,2434,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
LPR,La Presa,-99.11772,19.534727,2302,,4.84E+11,Estado de Mexico,Tlalnepantla de Baz
LVI,La Villa,-99.117749,19.46789,2228,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Gustavo A Madero
MCM,Museo de la Cd. de México,-99.131924,19.429071,2237,,4.84E+11,Ciudad de Mexico,Cuauhtemoc
MER,Merced,-99.119594,19.42461,2245,,4.84E+11,Ciudad de Mexico,Venustiano Carranza
MGH,Mguel Hidalgo,-99.20266,19.40405,2327,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
MIN,Metro Insurgentes,-99.162885,19.42144,2231,Finalizó operación en 2007,4.84E+11,Ciudad de Mexico,Cuauhtemoc
MON,Montecillo,-98.902853,19.460415,2252,,4.84E+11,Estado de Mexico,Texcoco
MPA,Milpa Alta,-98.990189,19.1769,2594,,4.84E+11,Ciudad de Mexico,Milpa Alta
NET,Netzahualcoyotl,-99.026119,19.42115,2230,Finalizó operación en 2000,4.84E+11,Estado de Mexico,Nezahualcoyotl
NEZ,Nezahualcóyotl,-99.028212,19.393734,2235,,4.84E+11,Estado de Mexico,Nezahualcoyotl
PED,Pedregal,-99.204136,19.325146,2326,,4.84E+11,Ciudad de Mexico,Alvaro Obregon
PER,La Perla,-98.991858,19.38286,2237,Finalizó operación en 2011,4.84E+11,Estado de Mexico,Nezahualcoyotl
PLA,Plateros,-99.200109,19.365869,2345,Finalizó operación en 2010,4.84E+11,Ciudad de Mexico,Alvaro Obregon
POT,Portales,-99.145766,19.376494,2237,Finalizó operación en 1996,4.84E+11,Ciudad de Mexico,Benito Juarez
SAG,San Agustín,-99.030324,19.532968,2241,,4.84E+11,Estado de Mexico,Ecatepec de Morelos
SFE,Santa fe,-99.262865,19.357357,2599,,4.84E+11,Ciudad de Mexico,Cuajimalpa de Morelos
SHA,Secretaría de Hacienda,-99.207868,19.446203,2272,,4.84E+11,Ciudad de Mexico,Miguel Hidalgo
SJA,San Juan Aragón,-99.086095,19.452592,2258,,4.84E+11,Ciudad de Mexico,Venustiano Carranza
SNT,San Nicolas Totolapan,-99.256462,19.250385,2946,,4.84E+11,Ciudad de Mexico,La Magdalena Contreras
